date,year,cumdoy,yday,dowy
1961-10-01,1961,365,274,1
1961-10-02,1961,365,275,2
1961-10-03,1961,365,276,3
1961-10-04,1961,365,277,4
1961-10-05,1961,365,278,5
1961-10-06,1961,365,279,6
1961-10-07,1961,365,280,7
1961-10-08,1961,365,281,8
1961-10-09,1961,365,282,9
1961-10-10,1961,365,283,10
1961-10-11,1961,365,284,11
1961-10-12,1961,365,285,12
1961-10-13,1961,365,286,13
1961-10-14,1961,365,287,14
1961-10-15,1961,365,288,15
1961-10-16,1961,365,289,16
1961-10-17,1961,365,290,17
1961-10-18,1961,365,291,18
1961-10-19,1961,365,292,19
1961-10-20,1961,365,293,20
1961-10-21,1961,365,294,21
1961-10-22,1961,365,295,22
1961-10-23,1961,365,296,23
1961-10-24,1961,365,297,24
1961-10-25,1961,365,298,25
1961-10-26,1961,365,299,26
1961-10-27,1961,365,300,27
1961-10-28,1961,365,301,28
1961-10-29,1961,365,302,29
1961-10-30,1961,365,303,30
1961-10-31,1961,365,304,31
1961-11-01,1961,365,305,32
1961-11-02,1961,365,306,33
1961-11-03,1961,365,307,34
1961-11-04,1961,365,308,35
1961-11-05,1961,365,309,36
1961-11-06,1961,365,310,37
1961-11-07,1961,365,311,38
1961-11-08,1961,365,312,39
1961-11-09,1961,365,313,40
1961-11-10,1961,365,314,41
1961-11-11,1961,365,315,42
1961-11-12,1961,365,316,43
1961-11-13,1961,365,317,44
1961-11-14,1961,365,318,45
1961-11-15,1961,365,319,46
1961-11-16,1961,365,320,47
1961-11-17,1961,365,321,48
1961-11-18,1961,365,322,49
1961-11-19,1961,365,323,50
1961-11-20,1961,365,324,51
1961-11-21,1961,365,325,52
1961-11-22,1961,365,326,53
1961-11-23,1961,365,327,54
1961-11-24,1961,365,328,55
1961-11-25,1961,365,329,56
1961-11-26,1961,365,330,57
1961-11-27,1961,365,331,58
1961-11-28,1961,365,332,59
1961-11-29,1961,365,333,60
1961-11-30,1961,365,334,61
1961-12-01,1961,365,335,62
1961-12-02,1961,365,336,63
1961-12-03,1961,365,337,64
1961-12-04,1961,365,338,65
1961-12-05,1961,365,339,66
1961-12-06,1961,365,340,67
1961-12-07,1961,365,341,68
1961-12-08,1961,365,342,69
1961-12-09,1961,365,343,70
1961-12-10,1961,365,344,71
1961-12-11,1961,365,345,72
1961-12-12,1961,365,346,73
1961-12-13,1961,365,347,74
1961-12-14,1961,365,348,75
1961-12-15,1961,365,349,76
1961-12-16,1961,365,350,77
1961-12-17,1961,365,351,78
1961-12-18,1961,365,352,79
1961-12-19,1961,365,353,80
1961-12-20,1961,365,354,81
1961-12-21,1961,365,355,82
1961-12-22,1961,365,356,83
1961-12-23,1961,365,357,84
1961-12-24,1961,365,358,85
1961-12-25,1961,365,359,86
1961-12-26,1961,365,360,87
1961-12-27,1961,365,361,88
1961-12-28,1961,365,362,89
1961-12-29,1961,365,363,90
1961-12-30,1961,365,364,91
1961-12-31,1961,365,365,92
1962-01-01,1962,365,1,93
1962-01-02,1962,365,2,94
1962-01-03,1962,365,3,95
1962-01-04,1962,365,4,96
1962-01-05,1962,365,5,97
1962-01-06,1962,365,6,98
1962-01-07,1962,365,7,99
1962-01-08,1962,365,8,100
1962-01-09,1962,365,9,101
1962-01-10,1962,365,10,102
1962-01-11,1962,365,11,103
1962-01-12,1962,365,12,104
1962-01-13,1962,365,13,105
1962-01-14,1962,365,14,106
1962-01-15,1962,365,15,107
1962-01-16,1962,365,16,108
1962-01-17,1962,365,17,109
1962-01-18,1962,365,18,110
1962-01-19,1962,365,19,111
1962-01-20,1962,365,20,112
1962-01-21,1962,365,21,113
1962-01-22,1962,365,22,114
1962-01-23,1962,365,23,115
1962-01-24,1962,365,24,116
1962-01-25,1962,365,25,117
1962-01-26,1962,365,26,118
1962-01-27,1962,365,27,119
1962-01-28,1962,365,28,120
1962-01-29,1962,365,29,121
1962-01-30,1962,365,30,122
1962-01-31,1962,365,31,123
1962-02-01,1962,365,32,124
1962-02-02,1962,365,33,125
1962-02-03,1962,365,34,126
1962-02-04,1962,365,35,127
1962-02-05,1962,365,36,128
1962-02-06,1962,365,37,129
1962-02-07,1962,365,38,130
1962-02-08,1962,365,39,131
1962-02-09,1962,365,40,132
1962-02-10,1962,365,41,133
1962-02-11,1962,365,42,134
1962-02-12,1962,365,43,135
1962-02-13,1962,365,44,136
1962-02-14,1962,365,45,137
1962-02-15,1962,365,46,138
1962-02-16,1962,365,47,139
1962-02-17,1962,365,48,140
1962-02-18,1962,365,49,141
1962-02-19,1962,365,50,142
1962-02-20,1962,365,51,143
1962-02-21,1962,365,52,144
1962-02-22,1962,365,53,145
1962-02-23,1962,365,54,146
1962-02-24,1962,365,55,147
1962-02-25,1962,365,56,148
1962-02-26,1962,365,57,149
1962-02-27,1962,365,58,150
1962-02-28,1962,365,59,151
1962-03-01,1962,365,60,152
1962-03-02,1962,365,61,153
1962-03-03,1962,365,62,154
1962-03-04,1962,365,63,155
1962-03-05,1962,365,64,156
1962-03-06,1962,365,65,157
1962-03-07,1962,365,66,158
1962-03-08,1962,365,67,159
1962-03-09,1962,365,68,160
1962-03-10,1962,365,69,161
1962-03-11,1962,365,70,162
1962-03-12,1962,365,71,163
1962-03-13,1962,365,72,164
1962-03-14,1962,365,73,165
1962-03-15,1962,365,74,166
1962-03-16,1962,365,75,167
1962-03-17,1962,365,76,168
1962-03-18,1962,365,77,169
1962-03-19,1962,365,78,170
1962-03-20,1962,365,79,171
1962-03-21,1962,365,80,172
1962-03-22,1962,365,81,173
1962-03-23,1962,365,82,174
1962-03-24,1962,365,83,175
1962-03-25,1962,365,84,176
1962-03-26,1962,365,85,177
1962-03-27,1962,365,86,178
1962-03-28,1962,365,87,179
1962-03-29,1962,365,88,180
1962-03-30,1962,365,89,181
1962-03-31,1962,365,90,182
1962-04-01,1962,365,91,183
1962-04-02,1962,365,92,184
1962-04-03,1962,365,93,185
1962-04-04,1962,365,94,186
1962-04-05,1962,365,95,187
1962-04-06,1962,365,96,188
1962-04-07,1962,365,97,189
1962-04-08,1962,365,98,190
1962-04-09,1962,365,99,191
1962-04-10,1962,365,100,192
1962-04-11,1962,365,101,193
1962-04-12,1962,365,102,194
1962-04-13,1962,365,103,195
1962-04-14,1962,365,104,196
1962-04-15,1962,365,105,197
1962-04-16,1962,365,106,198
1962-04-17,1962,365,107,199
1962-04-18,1962,365,108,200
1962-04-19,1962,365,109,201
1962-04-20,1962,365,110,202
1962-04-21,1962,365,111,203
1962-04-22,1962,365,112,204
1962-04-23,1962,365,113,205
1962-04-24,1962,365,114,206
1962-04-25,1962,365,115,207
1962-04-26,1962,365,116,208
1962-04-27,1962,365,117,209
1962-04-28,1962,365,118,210
1962-04-29,1962,365,119,211
1962-04-30,1962,365,120,212
1962-05-01,1962,365,121,213
1962-05-02,1962,365,122,214
1962-05-03,1962,365,123,215
1962-05-04,1962,365,124,216
1962-05-05,1962,365,125,217
1962-05-06,1962,365,126,218
1962-05-07,1962,365,127,219
1962-05-08,1962,365,128,220
1962-05-09,1962,365,129,221
1962-05-10,1962,365,130,222
1962-05-11,1962,365,131,223
1962-05-12,1962,365,132,224
1962-05-13,1962,365,133,225
1962-05-14,1962,365,134,226
1962-05-15,1962,365,135,227
1962-05-16,1962,365,136,228
1962-05-17,1962,365,137,229
1962-05-18,1962,365,138,230
1962-05-19,1962,365,139,231
1962-05-20,1962,365,140,232
1962-05-21,1962,365,141,233
1962-05-22,1962,365,142,234
1962-05-23,1962,365,143,235
1962-05-24,1962,365,144,236
1962-05-25,1962,365,145,237
1962-05-26,1962,365,146,238
1962-05-27,1962,365,147,239
1962-05-28,1962,365,148,240
1962-05-29,1962,365,149,241
1962-05-30,1962,365,150,242
1962-05-31,1962,365,151,243
1962-06-01,1962,365,152,244
1962-06-02,1962,365,153,245
1962-06-03,1962,365,154,246
1962-06-04,1962,365,155,247
1962-06-05,1962,365,156,248
1962-06-06,1962,365,157,249
1962-06-07,1962,365,158,250
1962-06-08,1962,365,159,251
1962-06-09,1962,365,160,252
1962-06-10,1962,365,161,253
1962-06-11,1962,365,162,254
1962-06-12,1962,365,163,255
1962-06-13,1962,365,164,256
1962-06-14,1962,365,165,257
1962-06-15,1962,365,166,258
1962-06-16,1962,365,167,259
1962-06-17,1962,365,168,260
1962-06-18,1962,365,169,261
1962-06-19,1962,365,170,262
1962-06-20,1962,365,171,263
1962-06-21,1962,365,172,264
1962-06-22,1962,365,173,265
1962-06-23,1962,365,174,266
1962-06-24,1962,365,175,267
1962-06-25,1962,365,176,268
1962-06-26,1962,365,177,269
1962-06-27,1962,365,178,270
