piezo,piezo_nn,lat1,lon1,toc1,gelev1,lat2,lon2,toc2,gelev2,stickup,bl_dpblotoc,feb_bl_dpblotoc
AC-CS1,cs1,36.328835600,-116.375212170,2049.160,2047.240,36.3288349240,-116.3752106420,2046.870,2044.950,1.920,4.38,4.82
AC-CS2,cs2,36.328649140,-116.371865930,2051.300,2049.300,36.3286490310,-116.3718628560,2048.720,2046.720,2.000,5.83,3.95
AC-CS3,cs3,36.328541050,-116.368483490,2049.260,2047.240,36.3285422060,-116.3684802170,2047.480,2045.460,2.020,3.26,2.29
AC-CS4,cs4,36.328298860,-116.365180530,2050.730,2048.620,36.3282985030,-116.3651807520,2049.710,2047.600,2.110,4.2,3.56
AC-CS5,cs5,36.328016850,-116.359611300,2053.810,2051.860,36.3280165200,-116.3596105390,2052.680,2050.730,1.950,4.64,3.94
AC-CS6,cs6,36.336223630,-116.363474980,2059.970,2057.920,36.3362257230,-116.3634746840,2058.220,2056.170,2.050,3.62,3.24
AC-CS7,cs7,36.333520510,-116.364114910,2056.080,2054.030,36.3335208590,-116.3641151410,2054.320,2052.270,2.050,3.54,3.03
AC-CS8,cs8,36.330900270,-116.364919740,2053.260,2051.220,36.3309012440,-116.3649203280,2051.800,2049.760,2.040,4.05,3.34
AC-CS9,cs9,36.324492800,-116.366934150,2046.950,2044.840,36.3244091470,-116.3669339890,2045.300,2043.190,2.110,3.81,3.34
AC-CS10,cs10,36.321788540,-116.367761080,2045.570,2043.400,36.3217881420,-116.3677603550,2043.580,2041.410,2.170,3.66,3.09
AC-CS11,cs11,36.319442460,-116.368454000,2042.730,2040.650,36.3194409260,-116.3684530050,2041.070,2038.990,2.080,4.33,3.71
AC-DVJ,dvj,36.304502410,-116.413915560,2041.820,2041.130,36.3045027040,-116.4139156320,2042.180,2041.490,0.690,3.42,3.22
