date,depblotoc,who,time,notes
6/10/10,3.26,BB,8:07,
7/19/10,3.68,MH,7:36,
8/23/10,3.99,MH,7:43,
9/21/10,3.75,MH,8:31,
10/22/10,3.61,MH,8:00,
11/22/10,3.52,MH,8:36,vibrant niterwort community (S ~15m)
12/31/10,2.39,BB,13:08,
1/21/11,2.28,MH,9:00,
2/22/11,2.29,BB,0:00,
3/26/11,2.37,MH,9:35,
4/26/11,2.70,BB,9:20,
5/20/11,2.93,BB,16:18,
6/29/11,3.37,BB,6:39,
7/22/11,3.47,BB,7:28,
8/28/11,3.40,BB,6:35,
9/28/11,3.51,MH,8:55,lots of niterwort at #3
10/28/11,3.57,BB,16:09,
11/25/11,3.39,MH,10:24,
12/31/11,3.13,BB,13:13,
1/31/12,3.94,BB,11:35,
2/29/12,2.70,BB,15:01,
5/30/12,3.09,BB,6:51,
6/30/12,3.41,BB,7:18,
7/26/12,3.58,"DL, HH, & JH",6:54,
8/28/12,3.50,JP & SS,7:25,Damp soil - rain event 8/22/12 puddles on road
9/25/12,3.59,JP,7:37,
7/27/14,3.51,BB,7:31,
8/24/2022,3.20,MV,7:20,pulled with sounder
9/23/2022,3.20,MV,10:45,pulled with sounder
10/19/2022,3.11,MV,2:05,pulled with sounder
11/23/2022,2.90,MV,11:35,pulled with sounder
12/15/2022,3.25,MV,9:51,pulled with sounder
1/13/2023,2.00,MV,10:28,pulled with sounder
2/10/2023,2.23,MV,12:35,pulled with sounder
