date,depblotoc,who,time,notes
6/10/10,3.42,BB,0:00,
12/31/10,3.54,BB,14:36,
1/21/11,3.47,MH,10:09,
2/22/11,3.22,BB,0:00,
3/26/11,3.30,MH,10:29,
4/26/11,3.21,BB,10:14,
5/20/11,3.25,BB,19:13,
6/29/11,3.80,BB,7:40,
7/26/12,3.50,"DL, HH, & JH",8:35,Depth from top of casing
8/28/12,3.54,JP & SS,8:50,Damp soil for all CS plots. Rain events 8/22/12. Puddles along road.
9/25/12,3.55,JP,9:00,
11/1/12,3.58,JP,7:12,
11/22/12,3.60,SS & KB,11:35,
12/31/12,3.58,HH & JH,13:40,
2/2/13,3.41,BB,9:53,Top several inches mystery water - does not register
3/31/13,3.40,BB,8:47,No buzzer.
4/30/13,3.31,BB,7:29,
5/29/13,2.38,DL & JK,9:20,Buzzer worked.
6/27/13,3.10,DL,7:20,Yucky stuff in well. No buzzer.
7/31/13,2.50,BB,8:12,Mystery liquid @ 2.5. No beep.
8/28/13,2.40,JK,11:58,No beep.
9/30/13,3.50,BB,18:05,
10/30/13,3.55,BB,14:37,
11/30/13,3.45,JK,15:50,
12/27/13,3.56,JK,10:28,
1/31/14,3.56,JK,10:30,
3/28/14,3.56,JK,11:57,
5/3/14,2.80,BB,9:15,No buzz
5/31/14,2.90,BB,9:00,
6/27/14,2.90,JK,7:30,
7/27/14,3.10,BB,9:21,
8/31/14,2.95,BB,8:22,
10/2/14,2.90,JK,12:00,
12/29/14,2.31,PD,0:00,
10/31/15,3.34,PD & TH,13:30,Liquid registered as water.
11/24/15,3.28,TH & AM,9:30,Liquid registered as water.
12/16/15,3.25,AM,9:41,Liquid continues to register as water.
1/29/16,3.22,AM & AL,9:48,
2/25/16,3.18,AM & JS,8:25,
3/23/16,3.20,"AM, AL, & CD",8:28,
4/13/16,3.13,AM & JS,10:53,
5/10/16,3.15,AM & JS,13:23,
7/29/16,3.33,TH,11:43,Film on water surface. Blown in debris? Moss? Algae?
8/19/16,3.40,TH,10:42,Film on water surface.
10/28/16,3.60,TH,10:42,(no flim on water surface). Raining. Also recent rain 10/23/16.
12/15/16,4.53,TH,17:46,
3/10/17,3.48,TH,14:35,
7/9/17,3.75,TH,9:44,"Cobwebs in well. Film on water surface. 6/9/17 attempt failed, loss of light"
9/16/17,3.94,TH,8:43,
12/15/17,3.75,TH,16:25,
1/18/18,3.59,TH,9:10,
2/15/18,3.66,TH,17:46,
3/15/18,3.59,TH,9:05,
4/18/18,3.60,TH,13:32,
5/12/18,3.64,TH,14:32,
6/16/18,3.78,TH,7:56,More shoed horse racks than ever before (photo taken).
7/20/18,3.96,TH,9:30,More shoed horse racks than ever before (photo taken).
8/22/18,4.05,TH,8:10,Can see the probe touching H2O surface at 3.84 but buzzer will not reliably buzz unil 4.05
9/17/18,3.97,TH,10:22,"Tip of probe at 3.84, buzz at 3.97."
10/15/18,4.02,TH,13:45,"Tip of probe at 3.80, buzz at 4.02"
11/18/18,3.90,TH,16:40,"Tip of probe at 3.68, buzz at 3.90"
12/12/18,3.75,TH,14:06,Buzz at 3.75
3/11/19,3.50,TH,12:41,
4/12/19,3.55,TH,20:20,
5/15/0119,3.53,TH,20:01,
8/15/0119,4.00,TH,9:03,
