2024lpyrexmple,leapyearday,dowy_lp,w_lp,ww_lp,,2025nonlpexmple,regularyearday,dowy_reg,w_rg,ww_reg
1/1/2024,1,93,1,14,,1/1/2025,1,93,1,14
1/2/2024,2,94,1,14,,1/2/2025,2,94,1,14
1/3/2024,3,95,1,14,,1/3/2025,3,95,1,14
1/4/2024,4,96,1,14,,1/4/2025,4,96,1,14
1/5/2024,5,97,1,14,,1/5/2025,5,97,1,14
1/6/2024,6,98,1,14,,1/6/2025,6,98,1,14
1/7/2024,7,99,1,14,,1/7/2025,7,99,1,14
1/8/2024,8,100,2,15,,1/8/2025,8,100,2,15
1/9/2024,9,101,2,15,,1/9/2025,9,101,2,15
1/10/2024,10,102,2,15,,1/10/2025,10,102,2,15
1/11/2024,11,103,2,15,,1/11/2025,11,103,2,15
1/12/2024,12,104,2,15,,1/12/2025,12,104,2,15
1/13/2024,13,105,2,15,,1/13/2025,13,105,2,15
1/14/2024,14,106,2,15,,1/14/2025,14,106,2,15
1/15/2024,15,107,3,16,,1/15/2025,15,107,3,16
1/16/2024,16,108,3,16,,1/16/2025,16,108,3,16
1/17/2024,17,109,3,16,,1/17/2025,17,109,3,16
1/18/2024,18,110,3,16,,1/18/2025,18,110,3,16
1/19/2024,19,111,3,16,,1/19/2025,19,111,3,16
1/20/2024,20,112,3,16,,1/20/2025,20,112,3,16
1/21/2024,21,113,3,16,,1/21/2025,21,113,3,16
1/22/2024,22,114,4,17,,1/22/2025,22,114,4,17
1/23/2024,23,115,4,17,,1/23/2025,23,115,4,17
1/24/2024,24,116,4,17,,1/24/2025,24,116,4,17
1/25/2024,25,117,4,17,,1/25/2025,25,117,4,17
1/26/2024,26,118,4,17,,1/26/2025,26,118,4,17
1/27/2024,27,119,4,17,,1/27/2025,27,119,4,17
1/28/2024,28,120,4,17,,1/28/2025,28,120,4,17
1/29/2024,29,121,5,18,,1/29/2025,29,121,5,18
1/30/2024,30,122,5,18,,1/30/2025,30,122,5,18
1/31/2024,31,123,5,18,,1/31/2025,31,123,5,18
2/1/2024,32,124,5,18,,2/1/2025,32,124,5,18
2/2/2024,33,125,5,18,,2/2/2025,33,125,5,18
2/3/2024,34,126,5,18,,2/3/2025,34,126,5,18
2/4/2024,35,127,5,18,,2/4/2025,35,127,5,18
2/5/2024,36,128,6,19,,2/5/2025,36,128,6,19
2/6/2024,37,129,6,19,,2/6/2025,37,129,6,19
2/7/2024,38,130,6,19,,2/7/2025,38,130,6,19
2/8/2024,39,131,6,19,,2/8/2025,39,131,6,19
2/9/2024,40,132,6,19,,2/9/2025,40,132,6,19
2/10/2024,41,133,6,19,,2/10/2025,41,133,6,19
2/11/2024,42,134,6,19,,2/11/2025,42,134,6,19
2/12/2024,43,135,7,20,,2/12/2025,43,135,7,20
2/13/2024,44,136,7,20,,2/13/2025,44,136,7,20
2/14/2024,45,137,7,20,,2/14/2025,45,137,7,20
2/15/2024,46,138,7,20,,2/15/2025,46,138,7,20
2/16/2024,47,139,7,20,,2/16/2025,47,139,7,20
2/17/2024,48,140,7,20,,2/17/2025,48,140,7,20
2/18/2024,49,141,7,20,,2/18/2025,49,141,7,20
2/19/2024,50,142,8,21,,2/19/2025,50,142,8,21
2/20/2024,51,143,8,21,,2/20/2025,51,143,8,21
2/21/2024,52,144,8,21,,2/21/2025,52,144,8,21
2/22/2024,53,145,8,21,,2/22/2025,53,145,8,21
2/23/2024,54,146,8,21,,2/23/2025,54,146,8,21
2/24/2024,55,147,8,21,,2/24/2025,55,147,8,21
2/25/2024,56,148,8,21,,2/25/2025,56,148,8,21
2/26/2024,57,149,9,22,,2/26/2025,57,149,9,22
2/27/2024,58,150,9,22,,2/27/2025,58,150,9,22
2/28/2024,59,151,9,22,,2/28/2025,59,151,9,22
2/29/2024,60,152,9,22,,3/1/2025,60,152,9,22
3/1/2024,61,153,9,22,,3/2/2025,61,153,9,22
3/2/2024,62,154,9,22,,3/3/2025,62,154,9,22
3/3/2024,63,155,9,22,,3/4/2025,63,155,9,22
3/4/2024,64,156,10,23,,3/5/2025,64,156,10,23
3/5/2024,65,157,10,23,,3/6/2025,65,157,10,23
3/6/2024,66,158,10,23,,3/7/2025,66,158,10,23
3/7/2024,67,159,10,23,,3/8/2025,67,159,10,23
3/8/2024,68,160,10,23,,3/9/2025,68,160,10,23
3/9/2024,69,161,10,23,,3/10/2025,69,161,10,23
3/10/2024,70,162,10,23,,3/11/2025,70,162,10,23
3/11/2024,71,163,11,24,,3/12/2025,71,163,11,24
3/12/2024,72,164,11,24,,3/13/2025,72,164,11,24
3/13/2024,73,165,11,24,,3/14/2025,73,165,11,24
3/14/2024,74,166,11,24,,3/15/2025,74,166,11,24
3/15/2024,75,167,11,24,,3/16/2025,75,167,11,24
3/16/2024,76,168,11,24,,3/17/2025,76,168,11,24
3/17/2024,77,169,11,24,,3/18/2025,77,169,11,24
3/18/2024,78,170,12,25,,3/19/2025,78,170,12,25
3/19/2024,79,171,12,25,,3/20/2025,79,171,12,25
3/20/2024,80,172,12,25,,3/21/2025,80,172,12,25
3/21/2024,81,173,12,25,,3/22/2025,81,173,12,25
3/22/2024,82,174,12,25,,3/23/2025,82,174,12,25
3/23/2024,83,175,12,25,,3/24/2025,83,175,12,25
3/24/2024,84,176,12,25,,3/25/2025,84,176,12,25
3/25/2024,85,177,13,26,,3/26/2025,85,177,13,26
3/26/2024,86,178,13,26,,3/27/2025,86,178,13,26
3/27/2024,87,179,13,26,,3/28/2025,87,179,13,26
3/28/2024,88,180,13,26,,3/29/2025,88,180,13,26
