date,mdnghtstor
10/1/2016,3840
10/2/2016,3740
10/3/2016,3910
10/4/2016,3980
10/5/2016,3930
10/6/2016,3850
10/7/2016,3600
10/8/2016,3810
10/9/2016,3700
10/10/2016,4030
10/11/2016,3920
10/12/2016,3640
10/13/2016,3660
10/14/2016,3440
10/15/2016,2470
10/16/2016,2410
10/17/2016,2430
10/18/2016,2410
10/19/2016,2390
10/20/2016,2360
10/21/2016,2370
10/22/2016,2370
10/23/2016,2330
10/24/2016,2340
10/25/2016,2330
10/26/2016,2330
10/27/2016,2330
10/28/2016,2390
10/29/2016,2390
10/30/2016,2380
10/31/2016,2420
11/1/2016,2350
11/2/2016,2470
11/3/2016,2480
11/4/2016,2470
11/5/2016,2490
11/6/2016,2480
11/7/2016,2500
11/8/2016,2530
11/9/2016,2500
11/10/2016,2500
11/11/2016,2490
11/12/2016,2490
11/13/2016,2480
11/14/2016,2510
11/15/2016,2480
11/16/2016,2530
11/17/2016,2530
11/18/2016,2530
11/19/2016,2480
11/20/2016,2540
11/21/2016,2540
11/22/2016,3990
11/23/2016,4020
11/24/2016,3580
11/25/2016,3640
11/26/2016,3670
11/27/2016,3790
11/28/2016,4030
11/29/2016,3700
11/30/2016,3630
12/1/2016,3760
12/2/2016,3910
12/3/2016,3720
12/4/2016,3920
12/5/2016,3740
12/6/2016,3470
12/7/2016,3590
12/8/2016,3580
12/9/2016,3400
12/10/2016,3560
12/11/2016,3530
12/12/2016,3540
12/13/2016,3460
12/14/2016,3610
12/15/2016,3610
12/16/2016,3990
12/17/2016,3750
12/18/2016,3630
12/19/2016,3720
12/20/2016,3610
12/21/2016,3750
12/22/2016,3560
12/23/2016,3800
12/24/2016,3770
12/25/2016,3710
12/26/2016,3620
12/27/2016,3890
12/28/2016,3800
12/29/2016,3540
12/30/2016,3600
12/31/2016,3660
1/1/2017,3650
1/2/2017,3590
1/3/2017,3660
1/4/2017,3810
1/5/2017,3790
1/6/2017,3730
1/7/2017,3450
1/8/2017,3780
1/9/2017,3790
1/10/2017,3820
1/11/2017,3790
1/12/2017,4090
1/13/2017,4110
1/14/2017,4250
1/15/2017,3910
1/16/2017,3780
1/17/2017,3680
1/18/2017,3650
1/19/2017,4100
1/20/2017,4050
1/21/2017,4060
1/22/2017,3760
1/23/2017,3910
1/24/2017,3880
1/25/2017,3860
1/26/2017,3980
1/27/2017,3910
1/28/2017,4030
1/29/2017,4020
1/30/2017,3840
1/31/2017,3800
2/1/2017,3890
2/2/2017,3970
2/3/2017,4090
2/4/2017,4130
2/5/2017,4150
2/6/2017,4010
2/7/2017,3240
2/8/2017,3690
2/9/2017,3680
2/10/2017,3690
2/11/2017,3660
2/12/2017,3670
2/13/2017,3990
2/14/2017,3980
2/15/2017,3970
2/16/2017,4000
2/17/2017,3910
2/18/2017,3940
2/19/2017,3960
2/20/2017,3540
2/21/2017,3620
2/22/2017,3680
2/23/2017,3970
2/24/2017,3970
2/25/2017,3990
2/26/2017,4000
2/27/2017,4000
2/28/2017,3760
3/1/2017,4120
3/2/2017,4150
3/3/2017,4130
3/4/2017,4120
3/5/2017,4140
3/6/2017,4130
3/7/2017,4140
3/8/2017,3870
3/9/2017,3540
3/10/2017,3880
3/11/2017,3570
3/12/2017,3740
3/13/2017,3980
3/14/2017,3860
3/15/2017,4140
3/16/2017,4130
3/17/2017,3990
3/18/2017,3990
3/19/2017,3960
3/20/2017,3960
3/21/2017,3770
3/22/2017,3890
3/23/2017,3900
3/24/2017,3650
3/25/2017,4080
3/26/2017,3920
3/27/2017,3590
3/28/2017,3560
3/29/2017,3480
3/30/2017,3940
3/31/2017,4140
4/1/2017,3490
4/2/2017,3910
4/3/2017,4130
4/4/2017,4070
4/5/2017,4050
4/6/2017,4070
4/7/2017,3740
4/8/2017,3760
4/9/2017,4070
4/10/2017,4060
4/11/2017,4060
4/12/2017,4040
4/13/2017,3990
4/14/2017,4010
4/15/2017,3960
4/16/2017,4080
4/17/2017,4050
4/18/2017,3530
4/19/2017,3820
4/20/2017,3830
4/21/2017,4000
4/22/2017,3980
4/23/2017,3990
4/24/2017,3980
4/25/2017,3950
4/26/2017,3980
4/27/2017,3990
4/28/2017,3900
4/29/2017,3910
4/30/2017,3900
5/1/2017,3900
5/2/2017,3920
5/3/2017,3750
5/4/2017,3760
5/5/2017,3750
5/6/2017,3740
5/7/2017,3760
5/8/2017,3730
5/9/2017,3760
5/10/2017,3730
5/11/2017,3750
5/12/2017,3750
5/13/2017,3920
5/14/2017,3680
5/15/2017,3880
5/16/2017,4100
5/17/2017,4090
5/18/2017,4100
5/19/2017,4120
5/20/2017,4130
5/21/2017,4050
5/22/2017,3990
5/23/2017,3980
5/24/2017,3990
5/25/2017,3970
5/26/2017,3990
5/27/2017,3990
5/28/2017,3900
5/29/2017,3900
5/30/2017,3820
5/31/2017,3830
6/1/2017,3840
6/2/2017,3810
6/3/2017,3680
6/4/2017,3660
6/5/2017,3670
6/6/2017,3660
6/7/2017,3670
6/8/2017,3660
6/9/2017,3740
6/10/2017,3660
6/11/2017,3740
6/12/2017,3840
6/13/2017,3830
6/14/2017,3840
6/15/2017,3820
6/16/2017,3820
6/17/2017,3660
6/18/2017,3600
6/19/2017,3600
6/20/2017,3610
6/21/2017,3590
6/22/2017,3620
6/23/2017,3590
6/24/2017,3590
6/25/2017,3610
6/26/2017,3600
6/27/2017,3610
6/28/2017,3660
6/29/2017,3690
6/30/2017,3680
7/1/2017,3680
7/2/2017,3680
7/3/2017,3680
7/4/2017,3650
7/5/2017,3660
7/6/2017,3660
7/7/2017,3670
7/8/2017,3660
7/9/2017,3670
7/10/2017,3750
7/11/2017,3730
7/12/2017,3840
7/13/2017,3810
7/14/2017,3970
7/15/2017,3980
7/16/2017,3970
7/17/2017,3970
7/18/2017,3980
7/19/2017,3920
7/20/2017,3490
7/21/2017,3520
7/22/2017,3600
7/23/2017,3490
7/24/2017,4030
7/25/2017,3800
7/26/2017,3580
7/27/2017,3750
7/28/2017,3810
7/29/2017,3770
7/30/2017,3630
7/31/2017,3520
8/1/2017,3600
8/2/2017,3570
8/3/2017,3530
8/4/2017,3750
8/5/2017,4130
8/6/2017,3570
8/7/2017,3530
8/8/2017,3590
8/9/2017,3630
8/10/2017,3640
8/11/2017,3680
8/12/2017,3910
8/13/2017,3840
8/14/2017,3530
8/15/2017,3560
8/16/2017,3530
8/17/2017,3490
8/18/2017,3750
8/19/2017,3690
8/20/2017,3580
8/21/2017,3700
8/22/2017,3640
8/23/2017,3750
8/24/2017,3720
8/25/2017,3770
8/26/2017,3630
8/27/2017,3700
8/28/2017,3540
8/29/2017,3680
8/30/2017,3690
8/31/2017,3630
9/1/2017,3630
9/2/2017,3500
9/3/2017,3940
9/4/2017,3640
9/5/2017,3610
9/6/2017,3750
9/7/2017,3560
9/8/2017,3500
9/9/2017,3640
9/10/2017,3670
9/11/2017,3650
9/12/2017,3660
9/13/2017,3750
9/14/2017,3770
9/15/2017,3760
9/16/2017,3530
9/17/2017,3500
9/18/2017,3650
9/19/2017,3650
9/20/2017,3540
9/21/2017,3710
9/22/2017,3640
9/23/2017,3650
9/24/2017,3680
9/25/2017,3740
9/26/2017,3620
9/27/2017,3690
9/28/2017,3770
9/29/2017,3930
9/30/2017,3910
