date_time,blodm7,wllw
4/1/2020 0:00,47,21
4/2/2020 0:00,47,21
4/3/2020 0:00,47,20
4/4/2020 0:00,47,20
4/5/2020 0:00,47,23
4/6/2020 0:00,47,87
4/7/2020 0:00,47,49
4/8/2020 0:00,47,34
4/9/2020 0:00,47,35
4/10/2020 0:00,47,32
4/11/2020 0:00,48,29
4/12/2020 0:00,48,29
4/13/2020 0:00,48,48
4/14/2020 0:00,48,76
4/15/2020 0:00,48,77
4/16/2020 0:00,48,87
4/17/2020 0:00,48,100
4/18/2020 0:00,48,91
4/19/2020 0:00,48,67
4/20/2020 0:00,48,66
4/21/2020 0:00,48,61
4/22/2020 0:00,48,62
4/23/2020 0:00,48,80
4/24/2020 0:00,48,85
4/25/2020 0:00,48,88
4/26/2020 0:00,48,84
4/27/2020 0:00,48,75
4/28/2020 0:00,48,62
4/29/2020 0:00,48,56
4/30/2020 0:00,48,37
5/1/2020 0:00,424,31
5/2/2020 0:00,1300,28
5/3/2020 0:00,939,26
5/4/2020 0:00,880,25
5/5/2020 0:00,220,24
5/6/2020 0:00,255,23
5/7/2020 0:00,201,22
5/8/2020 0:00,49,20
5/9/2020 0:00,339,19
5/10/2020 0:00,945,18
5/11/2020 0:00,768,18
5/12/2020 0:00,444,17
5/13/2020 0:00,444,18
5/14/2020 0:00,418,17
5/15/2020 0:00,188,18
5/16/2020 0:00,48,18
5/17/2020 0:00,48,18
5/18/2020 0:00,430,65
5/19/2020 0:00,2220,63
5/20/2020 0:00,1270,34
5/21/2020 0:00,203,28
5/22/2020 0:00,190,25
5/23/2020 0:00,182,22
5/24/2020 0:00,180,21
5/25/2020 0:00,179,19
5/26/2020 0:00,175,18
5/27/2020 0:00,176,17
5/28/2020 0:00,458,16
5/29/2020 0:00,647,15
5/30/2020 0:00,650,14
5/31/2020 0:00,644,15
6/1/2020 0:00,551,15
6/2/2020 0:00,83,14
6/3/2020 0:00,48,13
6/4/2020 0:00,48,12
6/5/2020 0:00,48,12
6/6/2020 0:00,48,12
6/7/2020 0:00,48,12
6/8/2020 0:00,48,12
6/9/2020 0:00,48,12
6/10/2020 0:00,48,11
6/11/2020 0:00,48,11
6/12/2020 0:00,48,10
6/13/2020 0:00,48,11
6/14/2020 0:00,48,11
6/15/2020 0:00,48,10
6/16/2020 0:00,48,9.9
6/17/2020 0:00,48,9.4
6/18/2020 0:00,48,8.9
6/19/2020 0:00,48,8.2
6/20/2020 0:00,48,7.7
6/21/2020 0:00,48,7.3
6/22/2020 0:00,48,7.1
6/23/2020 0:00,47,6.8
6/24/2020 0:00,47,8.6
6/25/2020 0:00,48,9
6/26/2020 0:00,48,6.2
6/27/2020 0:00,48,5.8
6/28/2020 0:00,48,5.4
6/29/2020 0:00,48,5.3
6/30/2020 0:00,48,5.4
7/1/2020 0:00,48,5.2
7/2/2020 0:00,48,5
7/3/2020 0:00,48,4.9
7/4/2020 0:00,48,4.6
7/5/2020 0:00,48,4.3
7/6/2020 0:00,48,4
7/7/2020 0:00,48,18
7/8/2020 0:00,48,15
7/9/2020 0:00,48,18
7/10/2020 0:00,48,18
7/11/2020 0:00,47,17
7/12/2020 0:00,47,17
7/13/2020 0:00,48,16
7/14/2020 0:00,48,16
7/15/2020 0:00,48,16
7/16/2020 0:00,48,16
7/17/2020 0:00,48,15
7/18/2020 0:00,48,15
7/19/2020 0:00,48,15
7/20/2020 0:00,48,14
7/21/2020 0:00,48,14
7/22/2020 0:00,48,14
7/23/2020 0:00,48,14
7/24/2020 0:00,48,14
7/25/2020 0:00,47,13
7/26/2020 0:00,47,13
7/27/2020 0:00,47,13
7/28/2020 0:00,47,13
7/29/2020 0:00,47,13
7/30/2020 0:00,47,11
7/31/2020 0:00,47,13
8/1/2020 0:00,47,11
8/2/2020 0:00,48,10
8/3/2020 0:00,48,11
8/4/2020 0:00,48,11
8/5/2020 0:00,48,11
8/6/2020 0:00,48,11
8/7/2020 0:00,48,11
8/8/2020 0:00,48,11
8/9/2020 0:00,48,11
8/10/2020 0:00,48,11
8/11/2020 0:00,48,10
8/12/2020 0:00,48,9.8
8/13/2020 0:00,48,9
8/14/2020 0:00,48,8.7
8/15/2020 0:00,48,8.4
8/16/2020 0:00,48,8
8/17/2020 0:00,48,7.6
8/18/2020 0:00,48,7.3
8/19/2020 0:00,48,7
8/20/2020 0:00,48,6.2
8/21/2020 0:00,48,10
8/22/2020 0:00,48,5.2
8/23/2020 0:00,48,7.2
8/24/2020 0:00,48,7.5
8/25/2020 0:00,48,7.1
8/26/2020 0:00,48,7
8/27/2020 0:00,48,4.9
8/28/2020 0:00,48,4.3
8/29/2020 0:00,48,4
